;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
63;239.0;-1094.5;-1056.5;323.5;-333.0;256.5;314.5;-755.5;357.5;901.5
64;264.0;-1200.5;-1284.0;314.5;159.0;255.5;322.5;-619.0;349.0;1214.0
65;1020.5;-128.5;-318.5;813.5;421.0;883.0;357.5;312.5;317.5;1195.0
66;1568.5;192.5;996.5;1094.0;724.5;782.5;45.0;464.0;554.0;1127.5
67;1575.5;108.0;490.5;1139.5;1034.5;485.0;0.0;581.0;1248.0;857.5
68;677.5;-326.5;312.0;1107.5;105.0;481.5;102.0;1050.5;1173.5;1220.5
69;154.0;-736.0;530.0;855.0;-977.0;420.5;199.0;601.0;599.0;0.0
70;0.0;-504.5;1009.0;239.0;-1149.5;824.5;153.0;638.5;238.0;-783.0
71;-178.0;0.0;582.5;201.0;-1290.0;405.0;90.5;775.5;-372.5;132.0
72;-673.0;-619.5;-244.0;-78.5;-814.5;-87.5;-286.0;850.5;-1191.0;-936.5
73;-1196.5;-1022.5;-1025.0;-487.0;-822.0;-484.0;-845.5;171.0;-1153.5;-1199.0
74;-1213.5;-1202.0;-1057.5;-674.0;-1272.5;-856.5;-1280.0;-640.5;-1164.5;-1206.5
75;-1214.0;-1219.5;-1029.5;-1092.5;-1286.0;-1278.5;-1277.0;-1188.0;-1169.5;-1196.5
76;-1214.0;-1217.0;-1267.0;-1129.0;-1250.5;-1276.0;-1276.0;-1277.5;-1181.5;-1283.0
77;-1213.5;-1217.0;-1282.5;-764.5;-647.0;-989.5;-1276.0;-853.0;-1277.0;-1284.0
78;-1215.0;-1214.5;-900.5;107.5;-645.5;105.0;-1276.0;3.5;-1076.0;-1125.0
79;-1214.5;-1216.5;0.0;457.5;-211.0;519.5;-1276.0;487.5;-238.5;-579.5
80;-1144.5;-1214.0;669.0;614.0;0.0;840.0;-818.5;701.5;654.0;-365.0
81;-467.5;-1214.0;717.0;628.0;275.5;886.5;-395.0;659.0;1023.5;-83.0
82;116.0;-1213.0;806.0;660.0;483.5;721.5;-3.0;680.0;937.5;-43.0
83;138.5;-611.5;739.0;922.0;392.0;360.0;0.0;1211.5;1048.5;-27.0
84;291.0;-102.0;632.0;874.5;389.5;280.5;87.5;290.5;846.0;494.5
85;394.0;-380.5;350.5;860.5;728.5;451.5;221.5;-303.0;478.0;552.0
86;189.5;-890.0;421.0;767.0;554.0;446.5;191.0;-321.0;407.0;502.5
87;0.0;-1211.0;264.0;542.0;512.0;535.0;338.0;-321.0;511.0;442.5
88;0.0;-1210.0;234.5;351.0;552.5;529.0;424.5;-229.0;496.0;581.5
89;419.0;-170.0;575.0;335.0;447.5;514.0;105.0;220.0;488.0;216.5
90;1268.0;540.0;1152.5;737.0;687.5;557.5;0.0;651.5;556.0;261.5
91;1401.0;662.5;1172.0;927.5;347.0;720.5;0.0;591.0;464.0;397.5
92;680.0;160.5;332.0;394.5;-317.5;463.5;46.5;193.5;463.5;1220.5
93;30.5;0.0;-884.5;229.5;-887.0;506.0;120.0;-29.5;481.0;0.0
94;892.0;264.0;-651.5;571.5;-782.0;391.0;225.5;-321.0;351.5;-783.0
95;1387.5;75.0;-87.5;307.5;-812.5;322.5;279.0;-161.0;387.0;132.0
96;226.0;-187.0;-487.5;236.5;-1275.0;446.5;1.5;140.0;-1191.0;-1225.5
97;-609.0;-991.0;-487.5;-303.0;-1289.5;509.0;-532.0;63.0;-1153.5;-1173.0
98;-1026.0;-1210.0;-697.5;-488.5;-1287.0;188.0;-959.5;-142.0;-1164.5;-1159.0
99;-1213.5;-1210.0;-1113.0;-673.0;-1286.0;-563.5;-1222.0;-536.0;-1169.5;-1172.5
100;-1214.5;-1210.0;-1285.0;-971.0;-1126.5;-912.0;-1276.0;-1252.0;-1181.5;-1281.5
101;-1215.0;-1209.0;-1285.0;-971.0;-702.0;-1118.0;-1275.0;-33.0;-1277.0;-1243.0
102;-1216.0;-339.5;-412.5;-356.5;-607.5;-1280.0;-1273.0;281.0;-1076.0;-633.5
103;-1065.0;591.0;423.0;287.5;198.0;-730.0;-1272.5;786.0;-238.5;236.0
104;-1198.0;441.5;594.0;372.5;491.0;69.0;-409.0;1167.0;654.0;457.0
105;-1143.0;318.5;498.5;331.0;922.5;381.5;229.0;1133.5;1023.5;477.5
106;-903.0;355.5;399.5;405.0;690.0;342.5;276.0;1234.5;937.5;589.5
107;-648.0;242.5;524.0;287.0;529.0;460.0;350.5;1352.5;1048.5;389.0
108;-648.0;284.0;591.5;169.0;371.0;1007.0;387.0;1454.5;846.0;387.0
109;-716.0;325.0;558.5;179.5;375.0;1222.5;559.5;1530.0;478.0;513.5
110;-946.0;477.5;495.0;108.5;386.0;525.5;432.5;824.0;407.0;404.0
111;-1209.0;137.5;479.5;250.5;421.5;406.5;458.5;1.0;511.0;619.0
112;-1208.5;120.0;527.0;210.0;494.5;376.0;301.5;0.0;496.0;1062.0
113;-505.0;597.0;1073.0;278.0;663.0;299.0;181.5;269.0;488.0;1335.0
114;0.5;731.5;1186.5;273.5;1249.0;310.0;201.0;836.5;556.0;803.5
115;0.0;728.5;1290.0;288.5;997.0;479.5;156.5;1320.0;464.0;760.5
116;-30.0;510.0;1011.5;262.0;638.0;489.5;2.5;746.5;463.5;562.0
117;-454.0;63.0;179.5;395.0;480.5;270.0;324.5;81.0;481.0;459.0
118;0.0;192.5;857.0;268.0;824.5;377.5;272.0;-125.5;351.5;381.5
119;0.0;244.5;534.0;334.5;892.5;320.0;276.0;11.0;387.0;351.5
120;-461.0;130.5;-342.0;326.5;-270.0;264.0;155.5;257.5;0.0;-162.5
121;-1032.0;0.0;-1073.0;0.0;-926.0;-211.0;-344.5;-184.5;0.0;-483.0
122;-803.5;-489.5;-973.5;-553.0;-1111.5;-857.5;-801.5;-540.0;0.0;-413.0
123;-804.0;-988.0;-821.5;-1026.5;-1291.0;-1282.5;-1251.0;-1101.0;0.0;-688.5
124;-804.0;-961.5;-1232.5;-1129.5;-1291.5;-1126.5;-1273.5;-1282.0;0.0;-1023.0
125;-607.5;-960.0;-1289.5;-987.5;-1290.0;-1272.5;-1273.5;-1203.0;0.0;-1176.0
126;7.5;-81.5;-850.0;37.0;-1289.5;-1281.0;-769.5;-350.0;0.0;-981.0
127;506.5;638.5;309.0;829.5;-1137.5;-1281.0;0.0;1.0;0.0;-41.5
128;647.0;602.0;826.5;1296.0;185.0;-1212.5;0.0;124.5;0.0;354.5
129;496.0;835.5;773.5;532.0;479.0;-390.5;0.0;263.0;0.0;571.0
130;639.5;469.0;618.5;269.5;298.0;429.0;0.0;883.0;0.0;970.5
